scenario_idx,minADE,minFDE,miss
703,0.266331,0.334790,0
704,0.081127,0.059002,0
705,3.395103,6.365263,1
706,0.281798,0.731084,0
707,0.520133,0.890045,0
708,0.061096,0.052911,0
709,0.215501,0.575138,0
710,0.363564,0.401014,0
711,1.384544,1.485528,0
712,0.411279,0.813752,0
713,0.072802,0.066799,0
714,0.074505,0.077492,0
715,1.893529,4.980366,1
716,0.075658,0.062802,0
717,0.373337,0.616066,0
718,1.352714,3.734081,1
719,0.088888,0.099135,0
720,0.992007,2.900541,1
721,0.265070,0.169733,0
722,1.213973,1.728331,0
723,0.480663,0.809633,0
724,0.591205,1.327401,0
725,0.499973,0.995625,0
726,0.370924,0.632750,0
727,0.205273,0.365255,0
728,0.211681,0.200651,0
729,0.558263,0.327743,0
730,0.542842,0.911923,0
731,0.133932,0.102815,0
732,0.464234,0.700042,0
733,0.098512,0.040280,0
734,0.053015,0.021184,0
735,0.140838,0.213619,0
736,0.101177,0.101313,0
737,0.407351,0.742906,0
738,0.374228,0.707487,0
739,0.353113,0.308115,0
740,0.280097,0.220857,0
741,0.771183,1.095076,0
742,2.567745,3.764632,1
743,0.067960,0.036827,0
744,0.555455,0.167671,0
745,0.256057,0.183486,0
746,0.480089,1.030060,0
747,1.109613,2.139823,1
748,2.299038,3.631464,1
749,0.683385,1.412085,0
750,0.143351,0.102680,0
751,1.552255,2.138006,1
752,1.684812,2.194921,1
753,0.092064,0.089901,0
754,2.811954,5.279117,1
755,0.906575,1.224699,0
756,0.315858,0.455031,0
757,0.055680,0.045759,0
758,0.134269,0.120883,0
759,0.090374,0.068269,0
760,0.134581,0.124159,0
761,0.061610,0.060206,0
762,9.153054,17.756449,1
763,0.448107,0.952700,0
764,0.916589,1.300498,0
765,0.268303,1.043258,0
766,2.504670,4.753104,1
767,0.614826,1.992721,0
768,0.166368,0.068272,0
769,0.465088,0.968201,0
770,0.096425,0.049216,0
771,0.465478,0.994194,0
772,0.145434,0.139451,0
773,0.428283,0.592622,0
774,1.352397,3.415452,1
775,0.077342,0.055660,0
776,0.156273,0.289059,0
777,0.353182,0.346448,0
778,0.818098,2.077780,1
779,0.957382,1.653579,0
780,2.500997,2.290819,1
781,1.087003,1.748179,0
782,0.583871,1.041925,0
783,0.667862,1.010508,0
784,0.985146,1.373918,0
785,0.272481,0.922865,0
786,0.591438,1.536633,0
